topic,name,address,phone,website,description
Addiction Services,Addiction Recovery Center a Carle Health Proctor Hospital,5409 Knoxville Ave Peoria,309-691-1055,https://carle.org/locations/addiction-recovery-center-at-carle-health-pro,"Provides counseling/addiction medicine/recovery services."
Addiction Services,Adult & Teen Challenge of the Midwest,2400 N 8th Street Pekin,309-673-3716,https://atcgm.org/,"Our 12-month men’s and women’s residential program focuses on character development, building a daily regiment and teaching disciplined living. We provide an effective and comprehensive Christian faith-based solution to life controlling behavior disorders including but not limited to; drug, alcohol, pornography and gambling. We treat the whole person so they can become a productive member of their community.   Services: 12-month residential program, drug and alcohol programs, character development, thrift store."
Addiction Services,Brightside Clinic,"24363 Spring Creek Road Suite A, Washington",224-205-7866,https://www.brightsideclinic.com/suboxone-doctors-peoria/,"Addiction treatment including counseling, psychiatry, methadone conversion support, naloxone distribution, and dual diagnosis support."
Addiction Services,Gateway Foundation,4812 N Sheridan Road Peoria,309-570-0200 / 844-492-0887,https://www.gatewayfoundation.org/locations/peoria/,"Substance use disorder and co-occurring treatment programs, plus mental health services including individual therapy and medication management."
Addiction Services,Heartland Health Services,19 Olt Ave Pekin,309-680-7600,https://hhsil.com/,"Affordable healthcare regardless of insurance; services include primary care, behavioral health, Medication-Assisted Therapy (MAT), and more."
Addiction Services,JOLT Harm Reduction,2203 N Sheridan Rd Peoria,309-966-3643,https://joltfoundation.org/,"Recovery navigation, harm reduction kits, addiction support."
Addiction Services,Trillium Place,"3248 Vandever Ave Suite A, Pekin",309-342-5522,https://trilliumplacehealth.org/,"Mental health and addiction recovery services for all ages; inpatient, outpatient, and residential care including detox, treatment, medication-assisted therapy, and DUI education."
Adult Education,Goodwill Pekin Employment Center,3245 Court Street Pekin,309-347-6201,https://www.goodwillpeo.org/,"Goodwill offers multiple education and training services from their Pekin location from support services; job readiness to computer and digital skills."
Adult Education,YWCA of Pekin,315 Buena Vista Ave Pekin,309-347-2104,https://ywcapekin.org/literacy/,"The YWCA of Pekin Adult Literacy program offers adult basic education; english language learning (ELL/ESL); GED preparation."
Advocacy: Senior Citizens or Disabled Individuals,ACM Care,111 W Washington St East Peoria,309-453-2736,https://acmcare.org/get-started-here/peoria-il/,Case management services to seniors and individuals with disabilities.
Advocacy: Senior Citizens or Disabled Individuals,Adult Protective Services (CFPA),"720 W Joan Ct PO Box 3855, Peoria",866-800-1409 / 1-888-206-1327 (TTY),https://www.centerforpreventionofabuse.org/lets-start-the-conversation/adult-protective-services/,"Investigates reports of abuse, neglect, exploitation, and self-neglect of adults aged 60+ and adults 18–59 with disabilities."
Advocacy: Senior Citizens or Disabled Individuals,Advocates for Access,"4450 N Prospect Rd Suite C8, Peoria Heights",309-682-3500,https://advocatesforaccess.com/,"Systems change advocacy, peer support, independent living skills training, transition services, and information and referral resources."
Advocacy: Senior Citizens or Disabled Individuals,Alzheimer's Association,614 W Glen Ave Peoria,800-272-3900 / 309-681-1100,https://www.alz.org/illinois,"Caregiver education, resource support, and advocacy for individuals and families affected by Alzheimer's."
Advocacy: Senior Citizens or Disabled Individuals,Central Illinois Agency on Aging,700 Hamilton Blvd Peoria,309-674-2071,https://ciaoa.net/,"Adult protective services for seniors and individuals with disabilities, outreach services, and program funding for recreation and education."
Advocacy: Senior Citizens or Disabled Individuals,City of Pekin ADA Coordinator,111 S Capitol St Pekin,309-478-5368,https://www.ci.pekin.il.us/ada_portal/ada_transition_plan.php,Answers questions and provides assistance to residents and visitors on ADA-related matters.
Blind & Visually Impaired Services,Central Illinois Center for the Blind and Visually Impaired,29005 W Garden St Peoria,309-637-3693,https://cicbvi.org/,"Free services for blind/visually impaired individuals including orientation and mobility training, assistive technology, Braille instruction, adaptive devices, white cane clinic, and food pantry."
Blind & Visually Impaired Services,IDHS Rehabilitation Services,211 Fulton Street Suite 207 Peoria,309-660-9086,https://www.dhs.state.il.us/page.aspx?item=29764,"Vocational rehabilitation, Home Services Program for individuals with severe disabilities, and independent living support."
Blind & Visually Impaired Services,Prairie State Legal Services,101 SW Adams St Suite 800 Peoria,309-674-8931,https://pslegal.org/,"Free legal assistance for eligible clients covering housing, domestic violence, public benefits, family law, healthcare access, and consumer rights."
Blind & Visually Impaired Services,TCRC Sight Center,Morton IL,309-347-7148 / 309-291-0573,https://tcrcorg.com/services/?service=service5,"Services for blind and visually impaired including low vision assessments, mobility services, computer technology, community rehabilitation, and optical aids."
Children's Services and Programs,Boys and Girls Club of Pekin,1101 Veerman St Pekin,309-346-5437,https://bgcpekinil.org/,"Low-cost after-school and summer programs for ages 5–18; homework help, tutoring, STEM, art, sports, and daily meals/snacks."
Children's Services and Programs,Girl Scouts of Central Illinois,,888-623-1237,https://www.getyourgirlpower.org/,"Programs for girls including camping, community service, first aid, and earning badges; builds compassion, courage, confidence, leadership, and entrepreneurship."
Children's Services and Programs,Pekin Public Library,301 S 4th St Pekin,309-347-7111,https://pekinpubliclibrary.org/,"Books, DVDs, digital resources, free Wi-Fi, computer labs, printing, and numerous youth-focused programs year-round."
Children's Services and Programs,Pekin Park District,1701 Court St Pekin,309-347-7225,https://www.pekinparkdistrict.org/,"Facilities include DragonLand Water Park, mini-golf, fitness center, and arena; offers youth/adult sports leagues, fitness classes, day camps, and special events."
Children's Services and Programs,Scouting of America,614 NE Madison Ave Peoria,309-673-6136,https://beascout.scouting.org,"Largest scouting organization in the US; youth development programs for over 1 million youth."
Children's Services and Programs,Union Mission,203 Court Street Pekin,309-346-0724,https://www.facebook.com/Pekin-Union-Mission-100064902873672/,Children's sports and recreation programs.
